Source,Date,Link
Mystic Quest,1991,http://www.youtube.com/watch?v=TIN4Ij3RYcg
Secret of Mana,1993,https://www.youtube.com/watch?v=fv3WSSku0WU
Seiken Densetsu 3,1995,http://www.youtube.com/watch?v=1yaV-0EVdVs
Legend of Mana,1999,http://www.youtube.com/watch?v=_hW-MHssUd8
Phantasy Star,1987,http://www.youtube.com/watch?v=ss-bPYeoxnU
Phantasy Star II,1989,http://www.youtube.com/watch?v=2thohedmteQ
Phantasy Star III : Generations of Doom,1990,http://www.youtube.com/watch?v=59XcOlsxEE8
Phantasy Star IV : The End of the Millennium,1993,http://www.youtube.com/watch?v=elqP9ZnDyf8
Streets of Rage,1991,http://www.youtube.com/watch?v=pH71C0aO4fA
Streets of Rage II,1992,http://www.youtube.com/watch?v=yBMWuWE0eKw
Streets of Rage 3,1994,http://www.youtube.com/watch?v=8P0Fbfy3SWU
Mystic Defender,1989,http://www.youtube.com/watch?v=zG62_R-JFPA
ActRaiser,1990,http://www.youtube.com/watch?v=FB9Pym-sdbs
ActRaiser 2,1993,https://www.youtube.com/watch?v=MLx7-w8d3w0
Star Wing,1993,http://www.youtube.com/watch?v=eclAC0JQJYk
Lylat Wars,1997,https://www.youtube.com/watch?v=-dIETrKo0Ao
Golden Axe,1989,https://www.youtube.com/watch?v=h1_xSBHBQlUhttp://www.youtube.com/watch?v=ynCWYhAZYW8
Golden Axe II,1991,http://www.youtube.com/watch?v=vDA0YAvgJfs
Golden Axe : The Revenge of Death Adder,1992,http://www.youtube.com/watch?v=IRvz-69HcDQ
Golden Axe III,1993,http://www.youtube.com/watch?v=xHmwcEwSN4k
Final Fantasy,1987,https://www.youtube.com/watch?v=V6mHxE9cRX4
Final Fantasy II,1988,https://www.youtube.com/watch?v=_UlKXZEl7n0
Final Fantasy III,1990,http://www.youtube.com/watch?v=xNEdOk_w8Fg
Final Fantasy IV,1991,http://www.youtube.com/watch?v=g_a4lNJXRYc
Final Fantasy V,1992,http://www.youtube.com/watch?v=tZCXQRIZpUQ
